Id,Type,Label,X,Y
"Enredadera","Type","",11.931592064160936,-2.8756084076424524
"Casco Antiguo","District","Casco Antiguo   ",3.46816595323152,0.490962704848146
"Arbusto","Type","",-5.667076213076208,-4.1103570575261195
"Palmera","Type","",-4.829388044410586,5.801942290251486
"Otras","Type","",13.041694711599987,3.3649716192605013
"Norte","District","Norte   ",-0.42675366031682394,-5.101215355677625
"Triana","District","Triana   ",3.8229781956595215,4.338132963174187
"Macarena","District","Macarena   ",-8.412220116896815,1.7768490338773328
"Los Remedios","District","Los Remedios   ",5.843616428825315,-3.9522612116561593
"Árbol","Type","",0.2605908791204015,-0.19678356152579396
"Sur","District","Sur   ",-2.2557755062000298,1.9519452625623062
"Planta","Type","",-12.228994708428374,-1.6279514188165183
